Model,Best Params,Train RMSE (mean),Train RMSE (std),Val RMSE (mean),Val RMSE (std),Best Estimator
Linear Regression,{},0.3628128511928578,0.01677927019651288,0.35236068251366504,0.1901239085860575,"Pipeline(steps=[('preprocessor',
                 ColumnTransformer(remainder='passthrough', transformers=[])),
                ('regressor', LinearRegression())])"
KNN,"{'regressor__n_neighbors': 10, 'regressor__p': 1, 'regressor__weights': 'distance'}",0.1001673863949238,0.004457562214051664,0.34891511210229004,0.1325370017949819,"Pipeline(steps=[('preprocessor',
                 ColumnTransformer(remainder='passthrough', transformers=[])),
                ('regressor',
                 KNeighborsRegressor(n_neighbors=10, p=1, weights='distance'))])"
Decision Tree,"{'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 10}",0.20350369307784025,0.008759083387521564,0.38373441885098925,0.12616880659459137,"Pipeline(steps=[('preprocessor',
                 ColumnTransformer(remainder='passthrough', transformers=[])),
                ('regressor',
                 DecisionTreeRegressor(max_depth=10, min_samples_split=10,
                                       random_state=0))])"
SVR,"{'regressor__C': 10, 'regressor__degree': 2, 'regressor__epsilon': 0.1, 'regressor__kernel': 'rbf'}",0.32176498641058143,0.012625161297009371,0.3466565095069355,0.1600107321382588,"Pipeline(steps=[('preprocessor',
                 ColumnTransformer(remainder='passthrough', transformers=[])),
                ('regressor', SVR(C=10, degree=2))])"
MLP,"{'regressor__activation': 'relu', 'regressor__alpha': 0.01, 'regressor__hidden_layer_sizes': (50, 20), 'regressor__learning_rate_init': 0.01}",0.3409115836801272,0.013237915994060557,0.31937848965462307,0.16274667063880713,"Pipeline(steps=[('preprocessor',
                 ColumnTransformer(remainder='passthrough', transformers=[])),
                ('regressor',
                 MLPRegressor(alpha=0.01, hidden_layer_sizes=(50, 20),
                              learning_rate_init=0.01, max_iter=2000,
                              random_state=0))])"
